,Item,Pronunciation,Phonology,Frequency,Length
1878,bodily,B AA D AH L IY,badxli,2.12,6
1879,body,B AA D IY,badi,195.53,4
1880,bodybuilder,B AA D IY B IH L D AH R,badibIldxr,0.27,10
1881,bodyguard,B AA D IY G AA R D,badigard,5.73,8
1882,bog,B AO G,bcg,0.96,3
1887,bogeyman,B UH G IY M AE N,bUgimAn,0.86,7
1888,boggle,B AA G AH L,bagxl,0.37,5
1889,bogus,B OW G IH S,bogIs,2.71,5
1894,boil,B OY L,bOl,5.94,3
1895,boiler,B OY L AH R,bOlxr,2.82,5
1896,boisterous,B OY S T AH R IH S,bOstxrIs,0.24,8
1897,bold,B OW L D,bold,7.55,4
1902,boldest,B OW L D IH S T,boldIst,0.14,7
1903,boldness,B OW L D N AH S,boldnxs,0.22,7
1904,bolo,B OW L OW,bolo,0.71,4
1905,bologna,B AH L OW N IY,bxloni,1.94,6
1906,bolster,B OW L S T AH R,bolstxr,0.31,7
1907,bolt,B OW L T,bolt,6.88,4
1908,bomb,B AA M,bam,53.65,3
1909,bombard,B AA M B AA R D,bambard,0.24,7
1910,bombardment,B AA M B AA R D M AH N T,bambardmxnt,0.84,11
1911,bombastic,B AA M B AE S T IH K,bambAstIk,0.22,9
1912,bomber,B AA M AH R,bamxr,4.2,5
1913,bombing,B AA M IH NG,bamIG,7.49,5
1914,bombproof,B AA M P R UW F,bampruf,0.12,7
1915,bon,B AA N,ban,5.8,3
1916,bona,B OW N AH,bonx,1.24,4
1917,bonanza,B IH N AE N Z AH,bInAnzx,1.63,7
1918,bond,B AA N D,band,31.27,4
1919,bondage,B AA N D IH JH,bandIJ,1.71,6
1920,bondsman,B AA N D Z M AH N,bandzmxn,0.51,8
1921,bone,B OW N,bon,26.06,3
1922,bonfire,B AA N F AY R,banfYr,1.75,6
1923,bongo,B AA NG G OW,baGgo,2.69,5
1924,bonnet,B AA N IH T,banIt,1.86,5
1925,bonus,B OW N IH S,bonIs,9.2,5
1926,bony,B OW N IY,boni,1.2,4
1927,boo,B UW,bu,11.69,2
1928,booby,B UW B IY,bubi,2.53,4
1929,boogie,B UH G IY,bUgi,5.2,4
1930,book,B UH K,bUk,176.98,3
1931,bookcase,B UH K K EY S,bUkkes,0.94,6
1932,booker,B UH K AH R,bUkxr,2.0,5
1933,bookie,B UH K IY,bUki,2.55,4
1934,booking,B UH K IH NG,bUkIG,2.27,5
1935,bookish,B UH K IH SH,bUkIS,0.18,5
1936,bookkeeping,B UH K K IY P IH NG,bUkkipIG,0.75,8
1937,booklet,B UH K L IH T,bUklIt,0.55,6
1938,bookseller,B UH K S EH L AH R,bUksElxr,0.1,8
1939,bookshelf,B UH K SH EH L F,bUkSElf,0.33,7
1940,boom,B UW M,bum,21.8,3
1941,boomerang,B UW M AH R AE NG,bumxrAG,0.92,7
1942,boomtown,B UW M T AW N,bumtWn,0.1,6
1943,boon,B UW N,bun,2.12,3
1944,boor,B UH R,bUr,0.06,3
1945,boorish,B UH R IH SH,bUrIS,0.35,5
1946,boost,B UW S T,bust,4.51,4
1947,booster,B UW S T AH R,bustxr,2.65,6
1948,boot,B UW T,but,11.14,3
1949,booth,B UW TH,buT,20.37,3
1950,bootleg,B UW T L EH G,butlEg,0.82,6
1951,bootlegger,B UW T L EH G AH R,butlEgxr,0.65,8
1952,booty,B UW T IY,buti,6.14,4
1953,booze,B UW Z,buz,10.94,3
1954,bop,B AA P,bap,1.84,3
1955,borax,B OW R AE K S,borAks,0.1,6
1956,border,B AO R D AH R,bcrdxr,17.18,6
1957,borderland,B AO R D AH R L AE N D,bcrdxrlAnd,0.02,10
1958,borderline,B AO R D AH R L AY N,bcrdxrlYn,1.59,9
1963,boredom,B OW R D AH M,bordxm,2.14,6
1964,borer,B OW R AH R,borxr,0.04,5
1965,boring,B OW R IH NG,borIG,27.41,5
1966,born,B AO R N,bcrn,83.69,4
1971,borrow,B AA R OW,baro,29.31,4
1972,borrower,B AA R OW AH R,baroxr,0.08,6
1973,borrowing,B AA R OW IH NG,baroIG,2.88,6
1974,bosom,B UH Z AH M,bUzxm,3.12,5
1975,boss,B AO S,bcs,124.29,3
1976,botanical,B AH T AE N IH K AH L,bxtAnIkxl,1.04,9
1977,botanist,B AA T AH N IH S T,batxnIst,0.27,8
1978,botany,B AA T AH N IY,batxni,0.39,6
1979,both,B OW TH,boT,295.33,3
1980,bother,B AA DH AH R,baDxr,67.37,5
1981,bothersome,B AA DH AH R S AH M,baDxrsxm,0.31,8
1982,bottle,B AA T AH L,batxl,50.75,5
1983,bottleneck,B AA T AH L N EH K,batxlnEk,0.51,8
1984,bottom,B AA T AH M,batxm,49.92,5
1985,bottomless,B AA T AH M L IH S,batxmlIs,0.88,8
1986,bouffant,B UW F AA N T,bufant,0.06,6
1987,bough,B AW,bW,0.29,2
1992,boulevard,B UH L AH V AA R D,bUlxvard,5.18,8
1993,bounce,B AW N S,bWns,9.84,4
1994,bouncing,B AW N S IH NG,bWnsIG,4.25,6
1995,bouncy,B AW N S IY,bWnsi,1.78,5
1996,bound,B AW N D,bWnd,18.43,4
1997,boundary,B AW N D AH R IY,bWndxri,1.35,7
1998,boundless,B AW N D L IH S,bWndlIs,0.29,7
1999,bounty,B AW N T IY,bWnti,7.18,5
2000,bouquet,B OW K EY,boke,3.22,4
2001,bourbon,B AH R B IH N,bxrbIn,6.25,6
2002,bourgeois,B UH R ZH W AA,bUrZwa,1.18,6
2003,bourgeoisie,B UH R ZH W AA Z IY,bUrZwazi,0.29,8
2004,bout,B AW T,bWt,19.1,3
2005,bovine,B OW V AY N,bovYn,0.43,5
2010,bowel,B AW AH L,bWxl,3.59,4
2011,bower,B AW AH R,bWxr,0.25,4
2012,bowing,B OW IH NG,boIG,1.25,4
2013,bowl,B OW L,bol,21.45,3
2014,box,B AA K S,baks,89.75,4
2015,boxcar,B AA K S K AA R,bakskar,0.65,7
2016,boxer,B AA K S AH R,baksxr,3.84,6
2017,boxy,B AA K S IY,baksi,0.18,5
2018,boy,B OY,bO,529.82,2
2019,boycott,B OY K AA T,bOkat,0.96,5
2020,boyhood,B OY HH UH D,bOhUd,0.61,5
2021,boyish,B OY IH SH,bOIS,0.61,4
2024,bracelet,B R EY S L IH T,breslIt,7.8,7
2025,bracing,B R EY S IH NG,bresIG,0.45,6
2026,bracket,B R AE K IH T,brAkIt,0.63,6
2027,brackish,B R AE K IH SH,brAkIS,0.08,6
2028,brad,B R AE D,brAd,30.22,4
2033,brag,B R AE G,brAg,3.51,4
2034,braggadocio,B R AE G AH D OW S IY OW,brAgxdosio,0.06,10
2035,braid,B R EY D,bred,0.94,4
2036,brain,B R EY N,bren,77.02,4
2037,brainwashing,B R EY N W AA SH IH NG,brenwaSIG,0.73,9
2038,brainy,B R EY N IY,breni,0.94,5
2043,bran,B R AE N,brAn,1.31,4
2044,branch,B R AE N CH,brAnC,10.08,5
2045,brand,B R AE N D,brAnd,13.96,5
2046,brandish,B R AE N D IH SH,brAndIS,0.04,7
2047,brandy,B R AE N D IY,brAndi,11.12,6
2048,brash,B R AE SH,brAS,0.41,4
2049,brashness,B R AE SH N AH S,brASnxs,0.02,7
2050,brass,B R AE S,brAs,12.12,4
2051,brassiere,B R IH Z IH R,brIzIr,0.53,6
2052,brassy,B R AE S IY,brAsi,0.12,5
2053,bratwurst,B R AE T W AH R S T,brAtwxrst,0.47,9
2054,bravado,B R AH V AA D OW,brxvado,0.47,7
2055,brave,B R EY V,brev,31.71,4
2056,braver,B R EY V AH R,brevxr,1.14,6
2057,bravery,B R EY V AH R IY,brevxri,2.88,7
2058,bravest,B R EY V AH S T,brevxst,1.71,7
2059,brawl,B R AO L,brcl,2.12,4
2064,brazen,B R EY Z AH N,brezxn,1.18,6
2065,brazier,B R EY ZH AH R,breZxr,0.04,6
2066,brazil,B R AH Z IH L,brxzIl,5.25,6
2071,bread,B R EH D,brEd,28.33,4
2072,breadth,B R EH D TH,brEdT,0.43,5
2077,breakable,B R EY K AH B AH L,brekxbxl,0.16,8
2078,breakage,B R EY K IH JH,brekIJ,0.22,6
2079,breakaway,B R EY K AH W EY,brekxwe,0.67,7
2080,breakdown,B R EY K D AW N,brekdWn,7.31,7
2081,breaker,B R EY K AH R,brekxr,2.29,6
2082,breakfast,B R EH K F IH S T,brEkfIst,66.29,8
2083,breaking,B R EY K IH NG,brekIG,42.25,6
2084,breakthrough,B R EY K TH R UW,brekTru,3.43,7
2085,breakup,B R EY K AH P,brekxp,2.92,6
2086,breakwater,B R EY K W AO T AH R,brekwctxr,0.1,9
2087,breast,B R EH S T,brEst,8.96,5
2088,breath,B R EH TH,brET,44.92,4
2089,breathe,B R IY DH,briD,48.51,4
2090,breather,B R IY DH AH R,briDxr,1.22,6
2091,breathing,B R IY DH IH NG,briDIG,27.78,6
2092,breathless,B R EH TH L IH S,brETlIs,1.08,7
2093,breathtaking,B R EH TH T EY K IH NG,brETtekIG,1.24,9
2094,breathy,B R EH TH IY,brETi,0.02,5
2099,breed,B R IY D,brid,6.33,4
2100,breeze,B R IY Z,briz,8.04,4
2101,breezy,B R IY Z IY,brizi,0.78,5
2102,brevet,B R AH V EH T,brxvEt,0.06,6
2103,brevity,B R EH V AH T IY,brEvxti,0.22,7
2104,brew,B R UW,bru,2.51,3
2105,brewer,B R UW AH R,bruxr,0.88,5
2106,brewery,B R UW AH R IY,bruxri,1.8,6
2107,briar,B R AY AH R,brYxr,0.76,5
2108,bribe,B R AY B,brYb,6.04,4
2109,brick,B R IH K,brIk,10.18,4
2110,bricklayer,B R IH K L EY AH R,brIklexr,0.2,8
2111,bricklaying,B R IH K L EY IH NG,brIkleIG,0.02,8
2116,bride,B R AY D,brYd,24.22,4
2117,bridegroom,B R AY D G R UW M,brYdgrum,1.43,8
2118,bridesmaid,B R AY D Z M EY D,brYdzmed,2.45,8
2119,bridge,B R IH JH,brIJ,45.71,4
2120,bridgehead,B R IH JH HH EH D,brIJhEd,0.12,7
2121,bridgework,B R IH JH W AH R K,brIJwxrk,0.12,8
2126,brief,B R IY F,brif,14.35,4
2127,briefcase,B R IY F K EY S,brifkes,8.59,7
2128,briefest,B R IY F AH S T,brifxst,0.18,7
2129,briefing,B R IY F IH NG,brifIG,4.57,6
2130,brig,B R IH G,brIg,3.04,4
2131,brigade,B R IH G EY D,brIged,3.2,6
2132,brigadier,B R IH G AH D IH R,brIgxdIr,1.02,8
2133,bright,B R AY T,brYt,44.41,4
2134,brighten,B R AY T AH N,brYtxn,1.37,6
2135,brighter,B R AY T AH R,brYtxr,2.94,6
2136,brightest,B R AY T AH S T,brYtxst,2.16,7
2137,brightly,B R AY T L IY,brYtli,0.75,6
2138,brightness,B R AY T N IH S,brYtnIs,0.59,7
2139,brilliance,B R IH L Y AH N S,brIlyxns,1.47,8
2140,brilliant,B R IH L Y AH N T,brIlyxnt,35.8,8
2141,brilliantly,B R IH L Y AH N T L IY,brIlyxntli,1.24,10
2142,brim,B R IH M,brIm,0.88,4
2143,brindle,B R IH N D AH L,brIndxl,0.04,7
2144,bring,B R IH NG,brIG,327.16,4
2145,bringing,B R IH NG IH NG,brIGIG,44.75,6
2146,brink,B R IH NG K,brIGk,2.49,5
2147,brisk,B R IH S K,brIsk,1.04,5
2148,bristle,B R IH S AH L,brIsxl,0.22,6
2149,brittle,B R IH T AH L,brItxl,1.39,6
2150,broach,B R OW CH,broC,0.45,4
2151,broad,B R AO D,brcd,14.73,4
2152,broadcast,B R AO D K AE S T,brcdkAst,8.96,8
2153,broadcaster,B R AO D K AE S T AH R,brcdkAstxr,0.14,10
2154,broadcasting,B R AO D K AE S T IH NG,brcdkAstIG,3.2,10
2155,broaden,B R AO D AH N,brcdxn,0.98,6
2156,broadening,B R AO D N IH NG,brcdnIG,0.22,7
2157,broader,B R AO D AH R,brcdxr,0.67,6
2158,broadest,B R AO D IH S T,brcdIst,0.1,7
2159,broadly,B R AO D L IY,brcdli,0.18,6
2160,broadside,B R AO D S AY D,brcdsYd,0.45,7
2161,brocade,B R OW K EY D,broked,0.1,6
2162,broccoli,B R AA K AH L IY,brakxli,2.27,7
2163,brochure,B R OW SH UH R,broSUr,1.9,6
2164,broil,B R OY L,brOl,0.29,4
2165,broiler,B R OY L AH R,brOlxr,0.2,6
2166,broke,B R OW K,brok,105.0,4
2167,broker,B R OW K AH R,brokxr,3.63,6
2168,brokerage,B R OW K AH R IH JH,brokxrIJ,0.55,8
2169,bromide,B R OW M AY D,bromYd,0.45,6
2170,bronchial,B R AA NG K IY AH L,braGkixl,0.33,8
2171,bronchiolitis,B R AA NG K IY OW L AY T IH S,braGkiolYtIs,0.04,12
2172,bronchus,B R AA NG K IH S,braGkIs,0.06,7
2173,bronco,B R AA NG K OW,braGko,1.41,6
2174,bronze,B R AA N Z,branz,2.8,5
2175,brood,B R UW D,brud,1.08,4
2176,broody,B R UW D IY,brudi,0.16,5
2177,brook,B R UH K,brUk,2.04,4
2178,broom,B R UW M,brum,4.76,4
2179,broth,B R AO TH,brcT,0.88,4
2180,brothel,B R AA TH AH L,braTxl,1.61,6
2181,brother,B R AH DH AH R,brxDxr,283.94,6
2182,brotherhood,B R AH DH AH R HH UH D,brxDxrhUd,4.16,9
2183,brotherly,B R AH DH AH R L IY,brxDxrli,0.84,8
2184,brow,B R AW,brW,1.84,3
2185,browbeat,B R AW B IY T,brWbit,0.06,6
2186,brown,B R AW N,brWn,60.12,4
2187,brownish,B R AW N IH SH,brWnIS,0.24,6
2188,browse,B R AW Z,brWz,0.59,4
2189,bruise,B R UW Z,bruz,3.24,4
2190,brunch,B R AH N CH,brxnC,3.71,5
2191,brunette,B R UW N EH T,brunEt,3.49,6
2192,brunt,B R AH N T,brxnt,0.49,5
2193,brush,B R AH SH,brxS,14.16,4
2194,brushfire,B R AH SH F AY R,brxSfYr,0.04,7
2195,brushing,B R AH SH IH NG,brxSIG,2.18,6
2196,brushwork,B R AH SH W AH R K,brxSwxrk,0.02,8
2197,brutal,B R UW T AH L,brutxl,7.35,6
2198,brutality,B R UW T AE L IH T IY,brutAlIti,2.2,9
2199,brutalize,B R UW T AH L AY Z,brutxlYz,0.08,8
2200,brutally,B R UW T AH L IY,brutxli,1.8,7
2201,brute,B R UW T,brut,3.18,4
2202,bubble,B AH B AH L,bxbxl,8.0,5
2203,bubbly,B AH B L IY,bxbli,1.37,5
2204,buck,B AH K,bxk,33.75,3
2205,buckboard,B AH K B OW R D,bxkbord,0.47,7
2206,bucket,B AH K IH T,bxkIt,10.02,5
2207,buckle,B AH K AH L,bxkxl,5.04,5
2208,buckshot,B AH K SH AA T,bxkSat,1.02,6
2209,buckskin,B AH K S K IH N,bxkskIn,0.14,7
2210,buckwheat,B AH K HH W IY T,bxkhwit,0.47,7
2211,bucolic,B Y UW K AA L IH K,byukalIk,0.14,8
2212,bud,B AH D,bxd,35.45,3
2213,buddy,B AH D IY,bxdi,102.88,4
2214,budge,B AH JH,bxJ,2.04,3
2215,budget,B AH JH IH T,bxJIt,10.06,5
2216,budgetary,B AH JH IH T EH R IY,bxJItEri,0.14,8
2217,budgeting,B AH JH IH T IH NG,bxJItIG,0.08,7
2218,buff,B AH F,bxf,2.49,3
2219,buffalo,B AH F AH L OW,bxfxlo,11.9,6
2220,buffer,B AH F AH R,bxfxr,1.67,5
2221,buffet,B AH F AH T,bxfxt,4.43,5
2222,buffeting,B AH F AH T IH NG,bxfxtIG,0.02,7
2223,buffoon,B AH F UW N,bxfun,0.86,5
2224,bug,B AH G,bxg,20.94,3
2225,bugger,B AH G AH R,bxgxr,4.35,5
2226,buggy,B AH G IY,bxgi,2.49,4
2227,bugle,B Y UW G AH L,byugxl,1.73,6
2228,build,B IH L D,bIld,48.08,4
2229,builder,B IH L D AH R,bIldxr,0.94,6
2230,building,B IH L D IH NG,bIldIG,99.57,6
2231,bulb,B AH L B,bxlb,3.92,4
2232,bulge,B AH L JH,bxlJ,0.94,4
2233,bulk,B AH L K,bxlk,1.9,4
2234,bulkhead,B AH L K HH EH D,bxlkhEd,0.94,7
2235,bulky,B AH L K IY,bxlki,0.51,5
2236,bull,B UH L,bUl,27.51,3
2237,bulldoze,B UH L D OW Z,bUldoz,0.27,6
2238,bullet,B UH L IH T,bUlIt,38.24,5
2239,bulletin,B UH L IH T AH N,bUlItxn,3.59,7
2240,bullish,B UH L IH SH,bUlIS,0.02,5
2241,bullshit,B UH L SH IH T,bUlSIt,69.35,6
2242,bully,B UH L IY,bUli,7.22,4
2243,bulwark,B UH L W AH R K,bUlwxrk,0.16,7
2244,bum,B AH M,bxm,15.43,3
2245,bumblebee,B AH M B AH L B IY,bxmbxlbi,0.65,8
2246,bump,B AH M P,bxmp,12.35,4
2247,bumper,B AH M P AH R,bxmpxr,3.55,6
2248,bumptious,B AH M SH IH S,bxmSIs,0.08,6
2249,bun,B AH N,bxn,2.88,3
2250,bunch,B AH N CH,bxnC,58.88,4
2251,bundle,B AH N D AH L,bxndxl,3.9,6
2252,bungalow,B AH NG G AH L OW,bxGgxlo,1.65,7
2253,bungle,B EH NG G AH L,bEGgxl,0.18,6
2254,bunk,B AH NG K,bxGk,6.27,4
2255,bunker,B AH NG K AH R,bxGkxr,4.69,6
2256,bunkmate,B AH NG K M EY T,bxGkmet,0.22,7
2257,bunt,B AH N T,bxnt,0.8,4
2258,bunter,B AH N T AH R,bxntxr,0.04,6
2259,buoy,B UW IY,bui,1.18,3
2260,buoyancy,B OY AH N S IY,bOxnsi,0.35,6
2261,buoyant,B OY AH N T,bOxnt,0.18,5
2262,burden,B AH R D AH N,bxrdxn,9.82,6
2263,burdensome,B AH R D AH N S AH M,bxrdxnsxm,0.02,9
2264,bureau,B Y UH R OW,byUro,11.14,5
2265,bureaucracy,B Y AH R AA K R IH S IY,byxrakrIsi,0.51,10
2266,bureaucrat,B Y UH R AH K R AE T,byUrxkrAt,0.57,9
2267,bureaucratic,B Y AH R AH K R AE T IH K,byxrxkrAtIk,0.8,11
2268,burgess,B AH R JH IH S,bxrJIs,0.96,6
2269,burglar,B AH R G L AH R,bxrglxr,5.53,7
2270,burglarproof,B AH R G L AH R P R UW F,bxrglxrpruf,0.02,11
2271,burglary,B AH R G L AH R IY,bxrglxri,3.57,8
2272,burgomaster,B AH R G OW M AE S T AH R,bxrgomAstxr,0.43,11
2273,burial,B EH R IY AH L,bErixl,4.75,6
2274,burl,B AH R L,bxrl,0.14,4
2275,burlesque,B AH R L EH S K,bxrlEsk,0.71,7
2284,burn,B AH R N,bxrn,55.22,4
2285,burner,B AH R N AH R,bxrnxr,1.82,6
2286,burning,B AH R N IH NG,bxrnIG,30.61,6
2287,burr,B AH R,bxr,0.69,3
2292,bursitis,B AH R S AY T IH S,bxrsYtIs,0.43,8
2293,burst,B AH R S T,bxrst,8.53,5
2302,busboy,B AH S B OY,bxsbO,1.69,5
2303,bush,B UH SH,bUS,14.12,3
2304,bushel,B UH SH AH L,bUSxl,0.63,5
2305,bushwhack,B UH SH HH W AE K,bUShwAk,0.2,7
2306,bushwhacking,B UH SH W AE K IH NG,bUSwAkIG,0.08,8
2307,busier,B IH Z IY AH R,bIzixr,0.55,6
2308,busiest,B IH Z IY AH S T,bIzixst,0.86,7
2309,business,B IH Z N IH S,bIznIs,321.0,6
2310,businessman,B IH Z N IH S M AE N,bIznIsmAn,7.92,9
2315,bust,B AH S T,bxst,27.57,4
2316,bustle,B AH S AH L,bxsxl,0.82,5
2317,busy,B IH Z IY,bIzi,106.53,4
2318,busyness,B IH Z IY N IH S,bIzinIs,0.02,7
2323,butane,B Y UW T EY N,byuten,0.29,6
2324,butcher,B UH CH AH R,bUCxr,8.51,5
2325,butchery,B UH CH AH R IY,bUCxri,0.25,6
2326,butler,B AH T L AH R,bxtlxr,9.96,6
2331,butter,B AH T AH R,bxtxr,20.43,5
2332,butterfat,B AH T AH R F AE T,bxtxrfAt,0.04,8
2333,butterfly,B AH T AH R F L AY,bxtxrflY,5.51,8
2334,butternut,B AH T AH R N AH T,bxtxrnxt,0.16,8
2335,buttery,B AH T AH R IY,bxtxri,0.33,6
2336,buttock,B AH T AH K,bxtxk,0.33,5
2337,button,B AH T AH N,bxtxn,28.25,5
2338,buttonhole,B AH T AH N HH OW L,bxtxnhol,0.22,8
2339,buttress,B AH T R IH S,bxtrIs,0.04,6
2340,buxom,B AH K S AH M,bxksxm,0.1,6
2345,buyer,B AY AH R,bYxr,5.18,4
2346,buying,B AY IH NG,bYIG,32.92,4
2347,buzz,B AH Z,bxz,15.96,3
2352,bygone,B AY G AO N,bYgcn,0.25,5
2353,byline,B AY L AY N,bYlYn,0.39,5
2354,bypass,B AY P AE S,bYpAs,3.57,5
2355,bystander,B AY S T AE N D AH R,bYstAndxr,0.88,9
2356,byword,B AY W AH R D,bYwxrd,0.04,6
2357,cab,K AE B,kAb,35.8,3
2358,cabana,K AH B AE N Y AH,kxbAnyx,0.9,7
2359,cabaret,K AE B AH R EY,kAbxre,2.25,6
2360,cabbage,K AE B IH JH,kAbIJ,2.9,5
2361,cabdriver,K AE B D R AY V AH R,kAbdrYvxr,0.27,9
2362,cabin,K AE B IH N,kAbIn,19.65,5
2363,cabinet,K AE B IH N IH T,kAbInIt,8.33,7
2364,cable,K EY B AH L,kebxl,21.73,5
2369,cackle,K AE K AH L,kAkxl,0.29,5
2370,cacophony,K AH K AA F AH N IY,kxkafxni,0.25,8
2371,cadaver,K IH D AE V AH R,kIdAvxr,1.18,7
2372,cadaverous,K AH D AE V AH R AH S,kxdAvxrxs,0.02,9
2373,cadence,K EY D AH N S,kedxns,0.29,6
2374,cadenza,K IH D EH N Z AH,kIdEnzx,0.04,7
2375,cadet,K IH D EH T,kIdEt,3.45,5
2376,cadmium,K AE D M IY AH M,kAdmixm,0.14,7
2377,cadre,K AE D R IY,kAdri,0.24,5
2378,cafe,K AE F EY,kAfe,5.06,4
2379,cafeteria,K AE F AH T IH R IY AH,kAfxtIrix,5.67,9
2380,cage,K EY JH,keJ,20.27,3
2381,cagey,K EY JH IY,keJi,0.57,4
2382,cahoots,K AH HH UW T S,kxhuts,0.63,6
2383,cake,K EY K,kek,45.06,3
2384,calamitous,K AH L AE M IH T AH S,kxlAmItxs,0.12,9
2385,calamity,K AH L AE M AH T IY,kxlAmxti,2.0,8
2386,calcification,K AE L S AH F AH K EY SH IH N,kAlsxfxkeSIn,0.02,12
2387,calcify,K AE L S AH F AY,kAlsxfY,0.02,7
2388,calcium,K AE L S IY AH M,kAlsixm,1.76,7
2389,calculate,K AE L K Y UH L EY T,kAlkyUlet,2.08,9
2390,calculation,K AE L K Y UH L EY SH IH N,kAlkyUleSIn,0.63,11
2391,calculator,K AE L K Y AH L EY T AH R,kAlkyxletxr,1.29,11
2392,calculus,K AE L K Y UH L AH S,kAlkyUlxs,0.92,9
2393,calendar,K AE L IH N D AH R,kAlIndxr,7.12,8
2394,calf,K AE F,kAf,2.96,3
2395,calfskin,K AE F S K IH N,kAfskIn,0.2,7
2396,caliber,K AE L AH B AH R,kAlxbxr,2.73,7
2397,calibrate,K AE L IH B R EY T,kAlIbret,0.24,8
2398,calibration,K AE L IH B R EY SH IH N,kAlIbreSIn,0.22,10
2399,calico,K AE L IH K OW,kAlIko,0.31,6
2400,caliph,K AE L AH F,kAlxf,0.16,5
2401,calisthenics,K AE L IH S TH EH N IH K S,kAlIsTEnIks,0.53,11
2402,call,K AO L,kcl,861.39,3
2403,caller,K AO L AH R,kclxr,4.35,5
2404,calligrapher,K AH L IH G R AH F AH R,kxlIgrxfxr,0.06,10
2405,calligraphy,K AH L IH G R AH F IY,kxlIgrxfi,0.55,9
2406,calling,K AO L IH NG,kclIG,123.75,5
2411,callousness,K AE L AH S N EH S,kAlxsnEs,0.16,8
2416,calm,K AA M,kam,89.04,3
2417,calmer,K AA L M AH R,kalmxr,0.71,6
2418,calmest,K AA L M AH S T,kalmxst,0.02,7
2419,calmness,K AA L M N AH S,kalmnxs,0.1,7
2420,caloric,K AH L AO R IH K,kxlcrIk,0.08,7
2421,calorie,K AE L AH R IY,kAlxri,0.24,6
2422,calorimeter,K AE L AH R IH M AH T AH R,kAlxrImxtxr,0.02,11
2423,calypso,K AH L IH P S OW,kxlIpso,0.33,7
2424,cam,K AE M,kAm,3.78,3
2425,camaraderie,K AA M AH R AA D AH R IY,kamxradxri,0.53,10
2426,camel,K AE M AH L,kAmxl,5.02,5
2427,cameo,K AE M IY OW,kAmio,0.47,5
2428,camera,K AE M AH R AH,kAmxrx,57.0,6
2429,cameraman,K AE M AH R AH M AH N,kAmxrxmxn,2.16,9
2430,camouflage,K AE M AH F L AA ZH,kAmxflaZ,1.84,8
2431,camp,K AE M P,kAmp,51.22,4
2432,campaign,K AE M P EY N,kAmpen,16.78,6
2433,campaigner,K AE M P EY N AH R,kAmpenxr,0.16,8
2434,campaigning,K AE M P EY N IH NG,kAmpenIG,0.88,8
2435,camper,K AE M P AH R,kAmpxr,1.43,6
2436,campfire,K AE M P F AY R,kAmpfYr,1.25,7
2437,campground,K AE M P G R AW N D,kAmpgrWnd,0.18,9
2438,campsite,K AE M P S AY T,kAmpsYt,0.59,7
2439,campus,K AE M P AH S,kAmpxs,10.71,6
2440,can,K AE N,kAn,5247.45,3
2441,canal,K AH N AE L,kxnAl,6.39,5
2442,cancel,K AE N S AH L,kAnsxl,18.29,6
2443,cancellation,K AE N S AH L EY SH IH N,kAnsxleSIn,1.27,10
2444,cancer,K AE N S AH R,kAnsxr,22.33,6
2445,candid,K AE N D IH D,kAndId,2.0,6
2446,candidacy,K AE N D IH D IH S IY,kAndIdIsi,0.63,9
2447,candidate,K AE N D IH D EY T,kAndIdet,8.51,8
2448,candle,K AE N D AH L,kAndxl,8.02,6
2449,candlelight,K AE N D AH L L AY T,kAndxllYt,1.67,9
2450,candlestick,K AE N D AH L S T IH K,kAndxlstIk,0.49,10
2451,candor,K AE N D AH R,kAndxr,1.0,6
2452,candy,K AE N D IY,kAndi,35.78,5
2453,cane,K EY N,ken,8.33,3
2454,canine,K EY N AY N,kenYn,1.69,5
2455,canister,K AE N IH S T AH R,kAnIstxr,1.43,8
2456,canker,K AE NG K AH R,kAGkxr,0.41,6
2457,cannery,K AE N AH R IY,kAnxri,0.25,6
2458,cannibal,K AE N AH B AH L,kAnxbxl,1.1,7
2459,cannibalistic,K AE N AH B AH L IH S T IH K,kAnxbxlIstIk,0.12,12
2464,cannonball,K AE N IH N B AO L,kAnInbcl,1.43,8
2465,canny,K AE N IY,kAni,0.22,4
2466,canoe,K AH N UW,kxnu,3.57,4
2471,canonize,K AE N IH N AY Z,kAnInYz,0.04,7
2472,canopy,K AE N AH P IY,kAnxpi,1.69,6
2473,cant,K AE N T,kAnt,2.33,4
2474,cantaloupe,K AE N T AH L OW P,kAntxlop,0.75,8
2475,canteen,K AE N T IY N,kAntin,1.71,6
2476,canter,K AE N T AH R,kAntxr,0.22,6
2477,cantilever,K AE N T AH L IY V AH R,kAntxlivxr,0.14,10
2478,cantle,K AE N T AH L,kAntxl,0.02,6
2479,canto,K AE N T OW,kAnto,0.14,5
2488,canvassing,K AE N V AH S IH NG,kAnvxsIG,0.53,8
2489,canyon,K AE N Y AH N,kAnyxn,8.2,6
2490,cap,K AE P,kAp,18.75,3
2491,capability,K EY P AH B IH L IH T IY,kepxbIlIti,1.37,10
2492,capable,K EY P AH B AH L,kepxbxl,20.82,7
2493,capably,K EY P AH B L IY,kepxbli,0.04,7
2494,capacious,K AH P EY SH IH S,kxpeSIs,0.06,7
2495,capacitance,K AH P AE S IH T AH N S,kxpAsItxns,0.02,10
2496,capacitor,K AH P AE S IH T AH R,kxpAsItxr,0.27,9
2497,capacity,K AH P AE S IH T IY,kxpAsIti,8.1,8
2498,cape,K EY P,kep,8.24,3
2499,caper,K EY P AH R,kepxr,1.76,5
