Item,Pronunciation,Phonology,Frequency
dialect,D AY AH L EH K T,dYxlEkt,1.33
dialectic,D AY AH L EH K T IH K,dYxlEktIk,0.14
dialectical,D AY AH L EH K T IH K AH L,dYxlEktIkxl,0.08
dialogue,D AY AH L AO G,dYxlcg,4.08
dialysis,D AY AE L IH S IH S,dYAlIsIs,1.51
diameter,D AY AE M AH T AH R,dYAmxtxr,1.04
diametric,D AY AH M EH T R IH K,dYxmEtrIk,0.02
diametrically,D AY AH M EH T R IH K AH L IY,dYxmEtrIkxli,0.02
diamond,D AY M AH N D,dYmxnd,20.65
diaper,D AY P AH R,dYpxr,4.27
diaphanous,D AY AE F AH N IH S,dYAfxnIs,0.1
diaphragm,D AY AH F R AE M,dYxfrAm,2.06
diarrhea,D AY AH R IY AH,dYxrix,2.39
diary,D AY R IY,dYri,8.98
dice,D AY S,dYs,10.45
dichondra,D AY K AA N D R AH,dYkandrx,0.02
dichotomy,D AY K AA T AH M IY,dYkatxmi,0.12
dick,D IH K,dIk,53
dictate,D IH K T EY T,dIktet,1.75
dictator,D IH K T EY T AH R,dIktetxr,2.12
dictatorial,D IH K T IH T OW R IY AH L,dIktItorixl,0.14
dictatorship,D IH K T EY T AH R SH IH P,dIktetxrSIp,0.92
diction,D IH K SH IH N,dIkSIn,0.49
dictionary,D IH K SH IH N EH R IY,dIkSInEri,3.73
dictum,D IH K T AH M,dIktxm,0.02
diddle,D IH D AH L,dIdxl,0.84
die,D AY,dY,261.14
die,D AY,dY,261.14
die,D AY,dY,261.14
die,D AY,dY,261.14
die,D AY,dY,261.14
die,D AY,dY,261.14
die,D AY,dY,261.14
die,D AY,dY,261.14
die,D AY,dY,261.14
diehard,D AY HH AA R D,dYhard,0.1
diem,D IY M,dim,2.1
diem,D IY M,dim,2.1
diem,D IY M,dim,2.1
diem,D IY M,dim,2.1
diesel,D IY Z AH L,dizxl,2.65
diet,D AY AH T,dYxt,15.37
dietary,D AY AH T EH R IY,dYxtEri,0.35
dieter,D IY T AH R,ditxr,0.1
dietetic,D AY IH T EH T IH K,dYItEtIk,0.04
differ,D IH F AH R,dIfxr,2.43
differ,D IH F AH R,dIfxr,2.43
differ,D IH F AH R,dIfxr,2.43
differ,D IH F AH R,dIfxr,2.43
difference,D IH F AH R AH N S,dIfxrxns,79.73
different,D IH F AH R AH N T,dIfxrxnt,209.53
differential,D IH F AH R EH N CH AH L,dIfxrEnCxl,0.86
differentiate,D IH F AH R EH N SH IY EY T,dIfxrEnSiet,0.33
differentiation,D IH F AH R EH N CH IY EY SH AH N,dIfxrEnCieSxn,0.08
difficult,D IH F IH K AH L T,dIfIkxlt,60.16
difficulty,D IH F AH K AH L T IY,dIfxkxlti,5.59
diffraction,D IH F R AE K SH AH N,dIfrAkSxn,0.06
diffuse,D IH F Y UW S,dIfyus,0.98
diffusion,D IH F Y UW ZH AH N,dIfyuZxn,0.22
dig,D IH G,dIg,46.22
digest,D AY JH EH S T,dYJEst,3.29
digestible,D IH JH EH S T AH B AH L,dIJEstxbxl,0.08
digestive,D IH JH EH S T IH V,dIJEstIv,0.88
digger,D IH G AH R,dIgxr,4.8
digit,D IH JH IH T,dIJIt,0.59
digital,D IH JH IH T AH L,dIJItxl,5.39
digitalis,D IH JH IH T AE L AH S,dIJItAlxs,0.16
digitalization,D IH JH IH T AH L IH Z EY SH AH N,dIJItxlIzeSxn,0.02
dignify,D IH G N AH F AY,dIgnxfY,0.59
dignitary,D IH G N AH T EH R IY,dIgnxtEri,0.12
dignity,D IH G N IH T IY,dIgnIti,10.8
digress,D AY G R EH S,dYgrEs,0.24
digression,D AY G R EH SH AH N,dYgrESxn,0.06
dilatation,D IH L IH T EY SH IH N,dIlIteSIn,0.08
dilate,D AY L EY T,dYlet,0.24
dilation,D AY L EY SH IH N,dYleSIn,0.57
dilemma,D AH L EH M AH,dxlEmx,2.61
dilettante,D IH L IH T AA N T,dIlItant,0.25
diligence,D IH L IH JH AH N S,dIlIJxns,0.76
diligent,D IH L AH JH IH N T,dIlxJInt,0.78
dill,D IH L,dIl,1.76
dilute,D AY L UW T,dYlut,0.37
dilution,D IH L UW SH AH N,dIluSxn,0.04
dim,D IH M,dIm,4.76
dime,D AY M,dYm,12.06
dimension,D AH M EH N CH IH N,dxmEnCIn,4.63
dimensional,D IH M EH N SH AH N AH L,dImEnSxnxl,1.08
dimer,D AY M AH R,dYmxr,0.02
diminish,D AH M IH N IH SH,dxmInIS,0.82
diminution,D IH M AH N UW SH IH N,dImxnuSIn,0.04
diminutive,D AH M IH N Y UW T IH V,dxmInyutIv,0.39
din,D IH N,dIn,1.18
dine,D AY N,dYn,4.29
dinghy,D IH NG IY,dIGi,0.71
dingo,D IH NG G OW,dIGgo,1.29
dingy,D IH N JH IY,dInJi,0.61
dining,D AY N IH NG,dYnIG,11.73
dinner,D IH N AH R,dInxr,202.67
dinnertime,D IH N AH R T AY M,dInxrtYm,1.78
dinnerware,D IH N AH R W AE R,dInxrwAr,0.14
dinosaur,D AY N IH S AO R,dYnIscr,3.98
diocesan,D AY AA S IH S IH N,dYasIsIn,0.06
diocese,D AY AH S IH S,dYxsIs,0.8
dioxide,D AY AA K S AY D,dYaksYd,1.02
dip,D IH P,dIp,7.96
diplomacy,D IH P L OW M AH S IY,dIplomxsi,1.59
diplomat,D IH P L AH M AE T,dIplxmAt,2.14
diplomatic,D IH P L AH M AE T IH K,dIplxmAtIk,5.02
dipper,D IH P AH R,dIpxr,0.65
dire,D AY R,dYr,2.2
direct,D AH R EH K T,dxrEkt,24.04
direction,D IH R EH K SH AH N,dIrEkSxn,24.08
directional,D IH R EH K SH AH N AH L,dIrEkSxnxl,0.37
directionality,D AH R EH K SH AH N AE L AH T IY,dxrEkSxnAlxti,0.12
directive,D IH R EH K T IH V,dIrEktIv,1.76
directly,D IH R EH K T L IY,dIrEktli,21.25
directness,D IH R EH K N AH S,dIrEknxs,0.24
director,D IH R EH K T AH R,dIrEktxr,35.96
directorate,D IH R EH K T AH R IH T,dIrEktxrIt,0.25
directorship,D IH R EH K T AH R SH IH P,dIrEktxrSIp,0.06
directory,D IH R EH K T AH R IY,dIrEktxri,1.65
dirge,D AH R JH,dxrJ,0.18
dirt,D AH R T,dxrt,25.69
dirty,D AH R T IY,dxrti,66.45
disability,D IH S AH B IH L IH T IY,dIsxbIlIti,1.98
disable,D IH S EY B AH L,dIsebxl,1.55
disabuse,D IH S AH B Y UW Z,dIsxbyuz,0.08
disadvantage,D IH S IH D V AE N T IH JH,dIsIdvAntIJ,1.12
disagree,D IH S AH G R IY,dIsxgri,6.63
disagreeable,D IH S AH G R IY AH B AH L,dIsxgrixbxl,0.96
disagreement,D IH S AH G R IY M AH N T,dIsxgrimxnt,1.53
disallow,D IH S AH L AW,dIsxlW,0.02
disappear,D IH S AH P IH R,dIsxpIr,20.96
disappearance,D IH S AH P IH R AH N S,dIsxpIrxns,4.31
disappoint,D IH S AH P OY N T,dIsxpOnt,8.45
disappointing,D IH S AH P OY N IH NG,dIsxpOnIG,3.43
disappointment,D IH S AH P OY N T M AH N T,dIsxpOntmxnt,5.43
disapproval,D IH S AH P R UW V AH L,dIsxpruvxl,0.61
disapprove,D IH S AH P R UW V,dIsxpruv,1.14
disarm,D IH S AA R M,dIsarm,2.14
disarmament,D IH S AA R M AH M AH N T,dIsarmxmxnt,0.29
disarrange,D IH S AH R EY N JH,dIsxrenJ,0.02
disarray,D IH S AH R EY,dIsxre,0.33
disassemble,D IH S IH S EH M B AH L,dIsIsEmbxl,0.22
disassembly,D IH S AH S EH M B L IY,dIsxsEmbli,0.06
disaster,D IH Z AE S T AH R,dIzAstxr,17.27
disastrous,D IH Z AE S T R AH S,dIzAstrxs,1.67
disband,D IH S B AE N D,dIsbAnd,0.53
disbelief,D IH S B IH L IY F,dIsbIlif,0.49
disbelieve,D IH S B AH L IY V,dIsbxliv,0.16
disburse,D IH S B AH R S,dIsbxrs,0.04
disbursement,D IH S B AH R S M AH N T,dIsbxrsmxnt,0.08
discard,D IH S K AA R D,dIskard,1.08
discern,D IH S AH R N,dIsxrn,0.33
discernible,D IH S AH R N AH B AH L,dIsxrnxbxl,0.18
discernment,D IH S AH R N M AH N T,dIsxrnmxnt,0.04
discharge,D IH S CH AA R JH,dIsCarJ,6.41
disciple,D IH S AY P AH L,dIsYpxl,1.02
disciplinary,D IH S AH P L IH N EH R IY,dIsxplInEri,1.61
discipline,D IH S AH P L IH N,dIsxplIn,9.06
disclaim,D IH S K L EY M,dIsklem,0.1
disclaimer,D IH S K L EY M AH R,dIsklemxr,0.08
disclose,D IH S K L OW Z,dIskloz,1.73
disclosure,D IH S K L OW ZH AH R,dIskloZxr,1
discomfort,D IH S K AH M F AH R T,dIskxmfxrt,1.59
disconcerting,D IH S K AH N S AH R T IH NG,dIskxnsxrtIG,0.53
disconnect,D IH S K AH N EH K T,dIskxnEkt,1.84
discontent,D IH S K IH N T EH N T,dIskIntEnt,0.9
discontented,D IH S K AH N T EH N T IH D,dIskxntEntId,0.12
discontinue,D IH S K AH N T IH N Y UW,dIskxntInyu,0.67
discord,D IH S K AO R D,dIskcrd,1.02
discount,D IH S K AW N T,dIskWnt,4.76
discourage,D IH S K AH R IH JH,dIskxrIJ,1.33
discouragement,D IH S K AH R IH JH M AH N T,dIskxrIJmxnt,0.08
discouraging,D IH S K AH R IH JH IH NG,dIskxrIJIG,0.8
discourse,D IH S K OW R S,dIskors,0.39
discourteous,D IH S K AH R T IY AH S,dIskxrtixs,0.24
discover,D IH S K AH V AH R,dIskxvxr,12.04
discoverer,D IH S K AH V AH R AH R,dIskxvxrxr,0.2
discovery,D IH S K AH V AH R IY,dIskxvxri,11.45
discredit,D IH S K R EH D IH T,dIskrEdIt,0.9
discreet,D IH S K R IY T,dIskrit,4.06
discreet,D IH S K R IY T,dIskrit,4.06
discreet,D IH S K R IY T,dIskrit,4.06
discreet,D IH S K R IY T,dIskrit,4.06
discrepancy,D IH S K R EH P AH N S IY,dIskrEpxnsi,0.88
discrete,D IH S K R IY T,dIskrit,0.33
discrete,D IH S K R IY T,dIskrit,0.33
discrete,D IH S K R IY T,dIskrit,0.33
discrete,D IH S K R IY T,dIskrit,0.33
discretion,D IH S K R EH SH AH N,dIskrESxn,3.67
discretionary,D IH S K R EH SH AH N EH R IY,dIskrESxnEri,0.41
discriminate,D IH S K R IH M AH N EY T,dIskrImxnet,0.8
discriminating,D IH S K R IH M AH N EY T IH NG,dIskrImxnetIG,0.49
discrimination,D IH S K R IH M AH N EY SH AH N,dIskrImxneSxn,2.18
discriminatory,D IH S K R IH M AH N AH T AO R IY,dIskrImxnxtcri,0.16
discuss,D IH S K AH S,dIskxs,45.67
discussion,D IH S K AH SH AH N,dIskxSxn,12.14
disdain,D IH S D EY N,dIsden,0.53
disdainful,D IH S D EY N F AH L,dIsdenfxl,0.06
disease,D IH Z IY Z,dIziz,26.18
diseased,D IH Z IY Z D,dIzizd,1.14
disembody,D IH S IH B AA D IY,dIsIbadi,0.02
disenfranchise,D IH S IH N F R AE N CH AY Z,dIsInfrAnCYz,0.02
disenfranchisement,D IH S EH N F R AE N CH IH Z M AH N T,dIsEnfrAnCIzmxnt,0.02
disengage,D IH S EH N G EY JH,dIsEngeJ,1.06
disengagement,D IH S EH N G EY JH M AH N T,dIsEngeJmxnt,0.12
disentangle,D IH S EH N T AE NG G AH L,dIsEntAGgxl,0.06
disfavor,D IH S F EY V AH R,dIsfevxr,0.06
disfigure,D IH S F IH G Y AH R,dIsfIgyxr,0.08
disgrace,D IH S G R EY S,dIsgres,8.02
disgraceful,D IH S G R EY S F AH L,dIsgresfxl,1.82
disguise,D IH S G AY Z,dIsgYz,7.8
disgust,D IH S G AH S T,dIsgxst,2.76
disgusting,D IH S G AH S T IH NG,dIsgxstIG,26.61
dish,D IH SH,dIS,11.45
disharmony,D IH S HH AA R M AH N IY,dIsharmxni,0.08
dishearten,D IH S HH AA R T AH N,dIshartxn,0.02
dishonest,D IH S AA N IH S T,dIsanIst,2.59
dishonesty,D IH S AA N IH S T IY,dIsanIsti,0.57
dishonor,D IH S AA N AH R,dIsanxr,1.2
dishwasher,D IH SH W AA SH AH R,dISwaSxr,2.02
dishwater,D IH SH W AO T AH R,dISwctxr,0.22
disillusion,D IH S AH L UW ZH IH N,dIsxluZIn,0.24
disillusionment,D IH S IH L UW ZH AH N M AH N T,dIsIluZxnmxnt,0.27
disinclination,D IH S IH N K L IH N EY SH IH N,dIsInklIneSIn,0.04
disintegrate,D IH S IH N T IH G R EY T,dIsIntIgret,0.51
disintegration,D IH S IH N T AH G R EY SH AH N,dIsIntxgreSxn,0.24
disinter,D IH S AH N T AH R,dIsxntxr,0.06
disinterest,D IH S IH N T AH R IH S T,dIsIntxrIst,0.12
disinterested,D IH S IH N T AH R AH S T IH D,dIsIntxrxstId,0.35
disjoint,D IH S JH OY N T,dIsJOnt,0.04
disk,D IH S K,dIsk,6.63
dislike,D IH S L AY K,dIslYk,3.92
dislocate,D IH S L OW K EY T,dIsloket,0.2
dislocation,D IH S L OW K EY SH IH N,dIslokeSIn,0.29
dislodge,D IH S L AA JH,dIslaJ,0.25
disloyal,D IH S L OY AH L,dIslOxl,0.96
disloyalty,D IH S L OY AH L T IY,dIslOxlti,0.45
dismal,D IH Z M AH L,dIzmxl,0.94
dismay,D IH S M EY,dIsme,0.45
dismaying,D IH S M EY IH NG,dIsmeIG,0.02
dismember,D IH S M EH M B AH R,dIsmEmbxr,0.31
dismemberment,D IH S M EH M B AH R M AH N T,dIsmEmbxrmxnt,0.35
dismiss,D IH S M IH S,dIsmIs,5.47
dismissal,D IH S M IH S AH L,dIsmIsxl,1.12
disobedience,D IH S AH B IY D IY AH N S,dIsxbidixns,0.76
disobedient,D IH S AH B IY D IY AH N T,dIsxbidixnt,0.22
disobey,D IH S AH B EY,dIsxbe,1.65
disorder,D IH S AO R D AH R,dIscrdxr,7.14
disorderly,D IH S AO R D AH R L IY,dIscrdxrli,1.35
disorganization,D IH S AO R G AH N IH Z EY SH AH N,dIscrgxnIzeSxn,0.12
disorganize,D IH S AO R G IH N AY Z,dIscrgInYz,0.04
disorient,D IH S AO R IY EH N T,dIscriEnt,0.08
disown,D IH S OW N,dIson,0.41
disparagement,D IH S P AE R IH JH M AH N T,dIspArIJmxnt,0.02
disparate,D IH S P AE R AH T,dIspArxt,0.14
disparity,D IH S P AE R AH T IY,dIspArxti,0.2
dispassionate,D IH S P AE SH IH N IH T,dIspASInIt,0.14
dispatch,D IH S P AE CH,dIspAC,6.86
dispel,D IH S P EH L,dIspEl,0.27
dispensary,D IH S P EH N S AH R IY,dIspEnsxri,0.41
dispensation,D IH S P AH N S EY SH IH N,dIspxnseSIn,0.35
dispense,D IH S P EH N S,dIspEns,1.35
dispenser,D IH S P EH N S AH R,dIspEnsxr,1.02
dispersal,D IH S P AH R S AH L,dIspxrsxl,0.45
disperse,D IH S P AH R S,dIspxrs,1.78
dispersion,D IH S P AH R ZH AH N,dIspxrZxn,0.06
displace,D IH S P L EY S,dIsples,0.41
displacement,D IH S P L EY S M AH N T,dIsplesmxnt,0.84
display,D IH S P L EY,dIsple,8.53
displease,D IH S P L IY Z,dIspliz,0.43
displeasure,D IH S P L EH ZH AH R,dIsplEZxr,0.67
disposal,D IH S P OW Z AH L,dIspozxl,4.9
dispose,D IH S P OW Z,dIspoz,3.14
disposition,D IH S P AH Z IH SH IH N,dIspxzISIn,2.16
dispossess,D IH S P AH Z EH S,dIspxzEs,0.08
disproportionate,D IH S P R AH P OW R SH AH N IH T,dIsprxporSxnIt,0.25
disprove,D IH S P R UW V,dIspruv,0.61
dispute,D IH S P Y UW T,dIspyut,3.14
disqualify,D IH S K W AA L AH F AY,dIskwalxfY,0.65
disquiet,D IH S K W AY AH T,dIskwYxt,0.08
disquieting,D IH S K W AY IH T IH NG,dIskwYItIG,0.12
disregard,D IH S R IH G AA R D,dIsrIgard,3.51
disrepair,D IH S R IH P AE R,dIsrIpAr,0.16
disreputable,D IH S R EH P Y UW T AH B AH L,dIsrEpyutxbxl,0.16
disrepute,D IH S R IH P Y UW T,dIsrIpyut,0.14
disrespect,D IH S R IH S P EH K T,dIsrIspEkt,5.24
disrobe,D IH S R OW B,dIsrob,0.27
disrupt,D IH S R AH P T,dIsrxpt,1.27
disruption,D IH S R AH P SH AH N,dIsrxpSxn,1
disruptive,D IH S R AH P T IH V,dIsrxptIv,0.43
dissatisfaction,D IH S S AE T IH S F AE K SH IH N,dIssAtIsfAkSIn,0.27
dissect,D IH S EH K T,dIsEkt,0.98
dissection,D IH S EH K SH AH N,dIsEkSxn,0.86
dissemble,D IH S EH M B AH L,dIsEmbxl,0.12
disseminate,D IH S EH M AH N EY T,dIsEmxnet,0.08
dissemination,D IH S EH M AH N EY SH AH N,dIsEmxneSxn,0.06
dissension,D IH S EH N CH IH N,dIsEnCIn,0.27
dissent,D IH S EH N T,dIsEnt,0.59
dissent,D IH S EH N T,dIsEnt,0.59
dissent,D IH S EH N T,dIsEnt,0.59
dissent,D IH S EH N T,dIsEnt,0.59
dissenter,D IH S EH N T AH R,dIsEntxr,0.02
disservice,D IH S S AH R V AH S,dIssxrvxs,0.35
dissident,D IH S IH D IH N T,dIsIdInt,0.18
dissimilar,D IH S S IH M AH L AH R,dIssImxlxr,0.25
dissimulation,D IH S IH M Y AH L EY SH AH N,dIsImyxleSxn,0.02
dissipate,D IH S AH P EY T,dIsxpet,0.22
dissociate,D IH S OW S IY EY T,dIsosiet,0.04
dissociation,D IH S OW S IY EY SH AH N,dIsosieSxn,0.04
dissolution,D IH S AH L UW SH IH N,dIsxluSIn,0.1
dissolve,D IH Z AA L V,dIzalv,1.86
dissonance,D IH S IH N IH N S,dIsInIns,0.06
dissuade,D IH S W EY D,dIswed,0.53
distal,D IH S T AH L,dIstxl,0.63
distance,D IH S T IH N S,dIstIns,25.61
distant,D IH S T AH N T,dIstxnt,8.61
distaste,D IH S T EY S T,dIstest,0.25
distasteful,D IH S T EY S T F AH L,dIstestfxl,1.18
distillation,D IH S T IH L EY SH IH N,dIstIleSIn,0.14
distiller,D IH S T IH L AH R,dIstIlxr,0.06
distinct,D IH S T IH NG T,dIstIGt,3.04
distinction,D IH S T IH NG K SH AH N,dIstIGkSxn,2.94
distinctive,D IH S T IH NG K T IH V,dIstIGktIv,1.55
distinctively,D IH S T IH NG K T IH V L IY,dIstIGktIvli,0.02
distinctly,D IH S T IH NG K T L IY,dIstIGktli,1.88
distinguish,D IH S T IH NG G W IH SH,dIstIGgwIS,1.78
distinguishable,D IH S T IH NG G W IH SH AH B AH L,dIstIGgwISxbxl,0.02
distinguished,D IH S T IH NG G W IH SH T,dIstIGgwISt,6.18
distort,D IH S T AO R T,dIstcrt,0.39
distortion,D IH S T AO R SH AH N,dIstcrSxn,1.18
distract,D IH S T R AE K T,dIstrAkt,4.88
distraction,D IH S T R AE K SH AH N,dIstrAkSxn,3.92
distraught,D IH S T R AO T,dIstrct,1.55
distress,D IH S T R EH S,dIstrEs,7.27
distressing,D IH S T R EH S IH NG,dIstrEsIG,0.82
distribute,D IH S T R IH B Y UW T,dIstrIbyut,1.49
distribution,D IH S T R IH B Y UW SH IH N,dIstrIbyuSIn,3.08
distributor,D IH S T R IH B Y UW T AH R,dIstrIbyutxr,1.53
distributorship,D IH S T R IH B Y AH T AH R SH IH P,dIstrIbyxtxrSIp,0.02
district,D IH S T R IH K T,dIstrIkt,20.94
distrust,D IH S T R AH S T,dIstrxst,0.75
disturb,D IH S T AH R B,dIstxrb,11.1
disturbance,D IH S T AH R B AH N S,dIstxrbxns,3.94
disturber,D IH S T AH R B AH R,dIstxrbxr,0.02
disturbing,D IH S T AH R B IH NG,dIstxrbIG,9.08
ditch,D IH CH,dIC,7.86
ditty,D IH T IY,dIti,0.78
diurnal,D AY AH R N AH L,dYxrnxl,0.04
diva,D IY V AH,divx,1.53
divan,D AY V AE N,dYvAn,0.12
dive,D AY V,dYv,12.82
diver,D AY V AH R,dYvxr,2.43
diverge,D AH V AH R JH,dxvxrJ,0.02
divergence,D IH V AH R JH AH N S,dIvxrJxns,0.06
divergent,D IH V AH R JH AH N T,dIvxrJxnt,0.08
divers,D AY V AH R Z,dYvxrz,1.59
diverse,D AY V AH R S,dYvxrs,0.76
diversification,D IH V AH R S AH F AH K EY SH AH N,dIvxrsxfxkeSxn,0.14
diversify,D AH V AH R S AH F AY,dxvxrsxfY,0.29
diversion,D IH V AH R ZH AH N,dIvxrZxn,3.1
diversionary,D IH V AH R ZH AH N EH R IY,dIvxrZxnEri,0.49
diversity,D IH V AH R S IH T IY,dIvxrsIti,1.1
divert,D IH V AH R T,dIvxrt,2.02
divest,D AY V EH S T,dYvEst,0.08
divestiture,D IH V EH S T IH CH AH R,dIvEstICxr,0.06
divide,D AH V AY D,dxvYd,5.84
dividend,D IH V AH D EH N D,dIvxdEnd,0.37
divider,D IH V AY D AH R,dIvYdxr,0.16
divination,D IH V AH N EY SH IH N,dIvxneSIn,0.1
divine,D AH V AY N,dxvYn,11.65
diving,D AY V IH NG,dYvIG,6.29
divinity,D AH V IH N IH T IY,dxvInIti,0.84
divisible,D AH V IH Z IH B AH L,dxvIzIbxl,0.08
division,D AH V IH ZH IH N,dxvIZIn,18.55
divisional,D IH V IH ZH AH N AH L,dIvIZxnxl,0.31
divisive,D AH V AY S IH V,dxvYsIv,0.14
divorce,D AH V OW R S,dxvors,32.73
divorcee,D IH V OW R S IY,dIvorsi,0.47
divulge,D AH V AH L JH,dxvxlJ,1.27
dizziness,D IH Z IY N AH S,dIzinxs,0.92
dizzy,D IH Z IY,dIzi,8.43
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
do,D UW,du,6135.59
docile,D AA S AH L,dasxl,0.53
dock,D AA K,dak,9.75
docket,D AA K IH T,dakIt,1.2
dockside,D AA K S AY D,daksYd,0.08
doctor,D AA K T AH R,daktxr,263.94
doctorate,D AA K T AH R AH T,daktxrxt,0.9
doctrinaire,D AA K T R AH N AE R,daktrxnAr,0.02
doctrinal,D AA K T R AH N AH L,daktrxnxl,0.08
doctrine,D AA K T R AH N,daktrxn,0.84
document,D AA K Y UH M AH N T,dakyUmxnt,10.1
documentary,D AA K Y UH M EH N T AH R IY,dakyUmEntxri,5.84
documentation,D AA K Y UH M AH N T EY SH IH N,dakyUmxnteSIn,1.35
dodge,D AA JH,daJ,7.76
doer,D UW R,dur,0.41
doff,D AA F,daf,0.16
dog,D AO G,dcg,192.84
dogged,D AO G AH D,dcgxd,0.51
doghouse,D AO G HH AW S,dcghWs,1.12
dogleg,D AO G L EH G,dcglEg,0.12
dogma,D AO G M AH,dcgmx,0.25
dogmatic,D AO G M AE T IH K,dcgmAtIk,0.2
dogwood,D AO G W UH D,dcgwUd,0.2
doing,D UW IH NG,duIG,1029.25
dolce,D OW L CH EY,dolCe,0.94
dole,D OW L,dol,0.96
doll,D AA L,dal,24.76
dollar,D AA L AH R,dalxr,27.65
dolly,D AA L IY,dali,6
dolphin,D AO L F AH N,dclfxn,2.76
domain,D OW M EY N,domen,2.59
dome,D OW M,dom,1.96
domestic,D AH M EH S T IH K,dxmEstIk,6.88
domesticity,D OW M EH S T IH S IH T IY,domEstIsIti,0.27
domicile,D AA M AH S AY L,damxsYl,0.35
dominance,D AA M AH N IH N S,damxnIns,0.76
dominant,D AA M AH N AH N T,damxnxnt,1.61
dominate,D AA M AH N EY T,damxnet,1.86
domination,D AA M AH N EY SH IH N,damxneSIn,1.55
domineer,D AA M AH N IH R,damxnIr,0.04
dominion,D AH M IH N Y AH N,dxmInyxn,1.14
don,D AA N,dan,6295.78
donate,D OW N EY T,donet,3.98
donation,D OW N EY SH IH N,doneSIn,3.51
donkey,D AO NG K IY,dcGki,5.35
donor,D OW N AH R,donxr,4.08
doom,D UW M,dum,5.61
doomsday,D UW M Z D EY,dumzde,0.8
door,D OW AH R,doxr,292.06
doorbell,D OW R B EH L,dorbEl,8.33
doorkeeper,D OW R K IY P AH R,dorkipxr,0.06
doorknob,D OW R N AA B,dornab,1.69
doorman,D OW R M AE N,dormAn,3.18
doorstep,D OW R S T EH P,dorstEp,3.37
doorway,D OW R W EY,dorwe,3.22
dope,D OW P,dop,16.08
dormant,D AO R M AH N T,dcrmxnt,1.16
dormitory,D AO R M AH T OW R IY,dcrmxtori,1
dosage,D OW S IH JH,dosIJ,2
dose,D OW S,dos,5.29
dot,D AA T,dat,6.63
dot,D AA T,dat,6.63
dote,D OW T,dot,0.22
dotting,D AA T IH NG,datIG,0.1
double,D AH B AH L,dxbxl,62.71
doubloon,D AH B L UW N,dxblun,0.12
doubly,D AH B AH L IY,dxbxli,0.55
doubt,D AW T,dWt,62.84
doubtful,D AW T F AH L,dWtfxl,1.63
dough,D OW,do,15.88
dour,D AW R,dWr,0.16
douse,D UW S,dus,0.8
dove,D OW V,dov,5.57
dovetail,D AH V T EY L,dxvtel,0.08
dowager,D AW IH JH AH R,dWIJxr,0.29
dowel,D AW AH L,dWxl,0.06
dower,D AW AH R,dWxr,0.02
down,D AW N,dWn,1490.27
downbeat,D AW N B IY T,dWnbit,0.25
downcast,D AW N K AE S T,dWnkAst,0.14
downfall,D AW N F AO L,dWnfcl,1.25
downgrade,D AW N G R EY D,dWngred,0.1
downhill,D AW N HH IH L,dWnhIl,2.47
downpour,D AW N P OW R,dWnpor,0.06
downright,D AW N R AY T,dWnrYt,2.37
downstairs,D AW N S T EH R Z,dWnstErz,38.92
downstream,D AW N S T R IY M,dWnstrim,1.25
downtown,D AW N T AW N,dWntWn,21.92
downtrodden,D AW N T R AA D AH N,dWntradxn,0.31
downturn,D AW N T AH R N,dWntxrn,0.08
downward,D AW N W AH R D,dWnwxrd,1.18
downwind,D AW N W IH N D,dWnwInd,0.55
dowry,D AW R IY,dWri,1.47
doze,D OW Z,doz,0.39
dozen,D AH Z AH N,dxzxn,24.14
drab,D R AE B,drAb,0.8
draft,D R AE F T,drAft,7.27
draft,D R AE F T,drAft,7.27
draft,D R AE F T,drAft,7.27
draft,D R AE F T,drAft,7.27
draftee,D R AE F T IY,drAfti,0.1
draftee,D R AE F T IY,drAfti,0.1
draftee,D R AE F T IY,drAfti,0.1
draftee,D R AE F T IY,drAfti,0.1
draftee,D R AE F T IY,drAfti,0.1
draftee,D R AE F T IY,drAfti,0.1
draftee,D R AE F T IY,drAfti,0.1
draftee,D R AE F T IY,drAfti,0.1
draftee,D R AE F T IY,drAfti,0.1
drafting,D R AE F T IH NG,drAftIG,0.43
drafty,D R AE F T IY,drAfti,0.63
drafty,D R AE F T IY,drAfti,0.63
drafty,D R AE F T IY,drAfti,0.63
drafty,D R AE F T IY,drAfti,0.63
drafty,D R AE F T IY,drAfti,0.63
drafty,D R AE F T IY,drAfti,0.63
drafty,D R AE F T IY,drAfti,0.63
drafty,D R AE F T IY,drAfti,0.63
drafty,D R AE F T IY,drAfti,0.63
drag,D R AE G,drAg,26.45
dragger,D R AE G AH R,drAgxr,0.04
dragnet,D R AE G N EH T,drAgnEt,0.35
dragon,D R AE G IH N,drAgIn,19.29
dragoon,D R AH G UW N,drxgun,0.06
drain,D R EY N,dren,8.63
drainage,D R EY N IH JH,drenIJ,0.9
